 # ID name  angle[rad]  betax[m]  betay[m] halfgap[m]  Material  Length[m]  sigx[m]  sigy[m] tilt1[rad] tilt2[rad] nsig
        42 TCSG.6R7.B1     0.8730000000E-02    0.3357596606E+03    0.4735648398E+02    0.3055919485E-02 C    0.10000E+01   0.39689E-03   0.14905E-03   0.00000E+00   0.00000E+00   0.77000E+01
        43 TCLA.A6R7.B1    0.1571000000E+01    0.2970695852E+03    0.4815512170E+02    0.1503046540E-02 W    0.10000E+01   0.37332E-03   0.15030E-03   0.00000E+00   0.00000E+00   0.10000E+02
        44 TCLA.B6R7.B1    0.0000000000E+00    0.1595010304E+03    0.7638772198E+02    0.2735475855E-02 W    0.10000E+01   0.27355E-03   0.18931E-03   0.00000E+00   0.00000E+00   0.10000E+02
        45 TCLA.C6R7.B1    0.1571000000E+01    0.6861620272E+02    0.1518871158E+03    0.2669387374E-02 W    0.10000E+01   0.17942E-03   0.26694E-03   0.00000E+00   0.00000E+00   0.10000E+02
        46 TCLA.D6R7.B1    0.0000000000E+00    0.6504844022E+02    0.1579158390E+03    0.1746906186E-02 W    0.10000E+01   0.17469E-03   0.27218E-03   0.00000E+00   0.00000E+00   0.10000E+02
        47 TCLA.A7R7.B1    0.0000000000E+00    0.6565508119E+02    0.1438618982E+03    0.1755033095E-02 W    0.10000E+01   0.17550E-03   0.25979E-03   0.00000E+00   0.00000E+00   0.10000E+02
        48 TCLD.8R7.B1     0.0000000000E+00    0.3137186708E+02    0.1277283020E+03    0.1213169050E-02 W    0.60000E+00   0.12132E-03   0.24479E-03   0.00000E+00   0.00000E+00   0.10000E+02
        49 TCLD.10R7.B1    0.0000000000E+00    0.4572957411E+02    0.1353275799E+03    0.1464703494E-02 W    0.60000E+00   0.14647E-03   0.25197E-03   0.00000E+00   0.00000E+00   0.10000E+02
        50 TCTPH.4L8.B1    0.0000000000E+00    0.2335224651E+03    0.2849154740E+03    0.3306594665E+00 W    0.10000E+01   0.33099E-03   0.36560E-03   0.00000E+00   0.00000E+00   0.99900E+03
        51 TCTPV.4L8.B1    0.1571000000E+01    0.2440842804E+03    0.2864898421E+03    0.3662446085E+00 W    0.10000E+01   0.33839E-03   0.36661E-03   0.00000E+00   0.00000E+00   0.99900E+03
        52 TCTH.6L1.B1     0.0000000000E+00    0.1143564361E+04    0.1822286453E+03    0.7983768641E-02 W    0.10000E+01   0.73246E-03   0.29239E-03   0.00000E+00   0.00000E+00   0.10900E+02
        53 TCTV.6L1.B1     0.1571000000E+01    0.1200178115E+04    0.2285182160E+03    0.3568930477E-02 W    0.10000E+01   0.75037E-03   0.32742E-03   0.00000E+00   0.00000E+00   0.10900E+02
        54 TCTPH.4L1.B1    0.0000000000E+00    0.4629139756E+04    0.7058522411E+04    0.1606304157E-01 W    0.10000E+01   0.14737E-02   0.18197E-02   0.00000E+00   0.00000E+00   0.10900E+02
        55 TCTPV.4L1.B1    0.1571000000E+01    0.4718617830E+04    0.7368289656E+04    0.2026567058E-01 W    0.10000E+01   0.14878E-02   0.18592E-02   0.00000E+00   0.00000E+00   0.10900E+02
